Unnamed: 0,region,coord
1,Ang Mo Kio,"1.3778409559942557, 103.84470403759677"
2,Bedok,"1.3239215954182095, 103.92729930377669"
3,Bishan,"1.3564069042189146, 103.84054953584081"
4,Boon Lay,"1.3140759593258122, 103.70223904379796"
5,Bukit Batok,"1.3560766870441583, 103.75730378897329"
6,Bukit Merah,"1.279512812613631, 103.8231703901416"
7,Bukit Panjang,"1.3702833290314638, 103.77131742194778"
8,Bukit Timah,"1.3317816907833613, 103.79136577308083"
9,Central Water Catchment,"1.3783532095196043, 103.80080215769537"
10,Changi,"1.3516835914382452, 103.99740176421709"
11,Choa Chu Kang,"1.3881729890179058, 103.74797431709113"
12,Clementi,"1.3206588628466371, 103.76068138217876"
13,City,"1.286372054191361, 103.84213772935635"
14,Geylang,"1.3228862746725434, 103.89054024606477"
15,Hougang,"1.3635834360975558, 103.88930687990405"
16,Jalan Bahar,"1.3591187419318356, 103.69429964244955"
17,Jurong East,"1.3322861008894078, 103.72947357764315"
18,Jurong Island,"1.2667831571827575, 103.68775520722303"
19,Jurong West,"1.343630609284505, 103.7063534264719"
20,Kallang,"1.310651482996832, 103.86632407050185"
21,Lim Chu Kang,"1.432258295905561, 103.72030832873807"
22,Mandai,"1.4217891253401267, 103.79600797505869"
23,Marine Parade,"1.3021317781564414, 103.89719350687234"
24,Novena,"1.3260067230607517, 103.83454928301846"
25,Pasir Ris,"1.3773839747558767, 103.94459408785697"
26,Paya Lebar,"1.3588873564807726, 103.91526065943142"
27,Pioneer,"1.3178140992433203, 103.66044465662196"
28,Pulau Tekong,"1.4076508945051494, 104.05053387025575"
29,Pulau Ubin,"1.4119342467438722, 103.95972793008076"
30,Punggol,"1.4061671778365272, 103.9092549909569"
31,Queenstown,"1.2942787568249616, 103.78824105375568"
32,Seletar,"1.4135231136234208, 103.878252123905"
33,Sembawang,"1.456143899874134, 103.8174842875473"
34,Sengkang,"1.3919086860046181, 103.88714913670066"
35,Sentosa,"1.2490070406577718, 103.82802763300806"
36,Serangoon,"1.3656542113774706, 103.86807239581418"
37,Southern Islands,"1.2348639709400313, 103.83745207081597"
38,Sungei Kadut,"1.4147370122783576, 103.75584180033988"
39,Tampines,"1.3517115203120569, 103.94867538787602"
40,Tanglin,"1.3097725964474949, 103.81612069778983"
41,Tengah,"1.3656937228029808, 103.73121601424108"
42,Toa Payoh,"1.3374705223417847, 103.86195144550771"
43,Tuas,"1.3039665977550914, 103.6327238509428"
44,Western Islands,"1.2353533424017322, 103.72158159644958"
45,Western Water Catchment,"1.3869750889359556, 103.69481883267133"
46,Woodlands,"1.4419417041660945, 103.79062378669181"
47,Yishun,"1.4178677227151646, 103.84190559349686"
